OBJECTID;ID;Nom;latitude0;longitude0;latitude1;longitude1;ecart
1;5277;POLE UNIVERSITAIRE;46.32697;-0.48992;46.32706;-0.48978;0
2;5327;PYTHAGORE;46.33234;-0.48514;46.33234;-0.48514;60
3;5393;ALLENDE;46.32664;-0.48652;46.326201;-0.48591;120
4;5404;MAX LINDER;46.326057;-0.481821;46.326164;-0.481776;60
5;5383;MELIES;46.326176;-0.48044;46.32616;-0.480396;60
6;5429;CARTIER;46.32444;-0.479618;46.32477;-0.47954;60
7;5255;GAVACHERIE;46.32255;-0.479433;46.322;-0.47928;60
8;5489;MOUGANDERIE;46.32087;-0.479435;46.32115;-0.479336;60
9;5397;MAIN;46.31832;-0.483975;46.31827;-0.48396;60
10;5266;POLE ATLANTIQUE;46.31718;-0.48295;46.31733;-0.482964;180
11;5451;LANGEVIN;46.316276;-0.47775;46.31647;-0.47804;360
12;5377;BRAILLE;46.314167;-0.47161;46.314385;-0.47235;60
13;5355;RENON;46.31363;-0.468392;46.313786;-0.468571;60
14;5296;HOPITAL;46.316803;-0.4576;46.31678;-0.45778;120
15;5268;NIORT GARE SNCF;46.319202;-0.4553;46.31917;-0.455445;180
16;5331;ROULAGE;46.32079;-0.459583;46.320606;-0.459259;60
17;39450;BRECHE;46.322945;-0.460006;46.322884;-0.459625;240
18;5435;VOLTAIRE;46.3251;-0.454255;46.325294;-0.454371;300
19;5471;BELLUNE;46.327488;-0.44831;46.327538;-0.448456;60
20;35115;MERIMEE;46.329456;-0.443132;46.32945;-0.44369;60
21;5490;COUDRAIE;46.331333;-0.438285;46.331306;-0.438855;60
22;5427;MAISONS ROUGES 1;46.33546;-0.425156;0;0;300
23;54271;MAISONS ROUGES 2;46.335514;-0.425744;0;0;30
24;5279;AMOURETTES;46.332474;-0.421929;46.33311;-0.42226;30
25;5325;VIGNEAU;46.3311;-0.4202;46.331135;-0.42045;30
26;5334;COUZINET;46.333183;-0.41536;46.33392;-0.41441;30
27;5410;TRENTE ORMEAUX;46.33723;-0.41181;46.33723;-0.41181;120
28;5424;TURGOT;46.335697;-0.408294;46.335823;-0.408296;60
29;5392;COLBERT;46.33725;-0.407041;46.337307;-0.407227;60
30;5307;GUTENBERG;46.33679;-0.404353;46.33702;-0.40481;30
31;5321;CONDORCET;46.339462;-0.40051;46.33936;-0.400764;30
32;5499;ARAGO;46.338066;-0.397003;46.338165;-0.397321;60
33;5409;COLONNES;46.338833;-0.392735;46.33887;-0.3931;60
34;5258;AMPERE;46.33871;-0.38787;46.33877;-0.38822;60
35;5485;CENTRE COMMERCIAL;46.3395;-0.38316;46.33946;-0.383653;60
36;5434;GAY LUSSAC;46.341522;-0.381097;46.3415;-0.3812;30
37;35437;ROCHEREAUX;46.34241;-0.37617;46.342342;-0.376338;30
38;5447;CHAURAY TREVINS;46.34683;-0.37556;46.346844;-0.375721;120
39;5261;PASTEUR;46.35117;-0.377681;46.350857;-0.377674;300
40;5444;VERSAINES;46.353474;-0.378045;46.353134;-0.378232;60
41;5239;SCHOFFENGRUND;46.35866;-0.376782;46.35881;-0.376687;60
42;5423;CHAURAY PARPIN;46.36193;-0.37203;46.36193;-0.37203;120
