OBJECTIF;ID;Nom;latitude0;longitude0;latitude1;longitude1;ecart
1;9356;TERRE DE SPORT;46.31526;-0.41565;46.31526;-0.41565;0
2;9494;ACCLAMEUR;46.315407;-0.410471;46.31551;-0.410563;60
3;9442;PE DARWIN;46.316312;-0.407055;46.316243;-0.407187;30
4;9517;AERODROME;46.317883;-0.409916;46.317791;-0.408880;30
5;9522;LIMOGES;46.31768;-0.415738;46.317566;-0.415663;120
6;9277;BELLEVUE;46.317303;-0.424388;46.31724;-0.4241;120
7;9387;VALLEE GUYOT;46.31716;-0.42805;46.31708;-0.42805;60
8;9258;FIEF JOLY;46.315076;-0.4312;46.31505;-0.431270;60
9;9316;POINCARE;46.316086;-0.433939;46.31619;-0.43449;60
10;9440;TURPIN;46.314846;-0.435365;46.314873;-0.435304;60
11;9600;JEAN PERRIN;46.31415;-0.43758;46.31409;-0.437738;60
12;9203;LYCEE PAUL GUERIN;46.315727;-0.441234;46.315727;-0.441234;60
13;48925;VALENTIN HAUY;46.31773;-0.438796;46.317757;-0.438323;60
14;9367;ROSIERS;46.319687;-0.436936;46.319843;-0.437388;60
15;9673;CHAMPCLAIROT;46.3202;-0.441621;46.32007;-0.441496;60
16;22338;LASSERON;46.3178;-0.4423;46.3178;-0.4423;60
17;9429;FERDINAND BUISSON;46.318077;-0.446568;46.318176;-0.447198;120
18;9314;PUYRAJOUX;46.319344;-0.449638;46.31952;-0.450416;60
19;9549;MUSEE;46.32128;-0.454311;46.321102;-0.454247;120
20;59049;BRECHE;46.32241;-0.459519;46.322502;-0.459448;240
21;9456;ST JEAN;46.32134;-0.464792;46.321228;-0.464848;60
22;9204;ESPINGOLE;46.322815;-0.467199;46.32263;-0.467246;120
23;9403;BAS SABLONNIER;46.322747;-0.471143;46.322803;-0.470996;60
24;9401;EQUARTS;46.32213;-0.475998;46.322113;-0.47591;60
25;9221;GAVACHERIE;46.322;-0.47928;46.32255;-0.479433;120
26;9541;CARTIER;46.32477;-0.47954;46.32444;-0.479618;60
27;9455;MELIES;46.32616;-0.480396;46.326176;-0.48044;30
28;9496;MAX LINDER;46.326164;-0.481776;46.326057;-0.481821;30
29;9665;TOUR CHABOT;46.326336;-0.484465;46.326275;-0.484669;60
30;9562;CARPENTIER;46.328156;-0.482957;46.32824;-0.482897;60
31;9299;BELIN;46.33012;-0.481744;46.330116;-0.481926;60
32;9349;PYTHAGORE;46.332363;-0.485177;46.332138;-0.485267;60
33;9260;POLE UNIVERSITAIRE;46.32697;-0.48992;46.32697;-0.48992;180
