OBJECTIF;ID;Nom;latitude0;longitude0;latitude1;longitude1;ecart;;
1;9454;AIFFRES MAIRIE;46.28592;-0.416099;46.28592;-0.416099;0;;
2;9467;CASSIN;46.28687;-0.414093;46.286774;-0.414157;60;;
3;9409;PIERRIERE;46.287914;-0.414128;46.2878;-0.413458;30;;
4;9461;ALOUETTE;46.29133;-0.417058;46.29131;-0.416849;60;;
5;9571;PLANTES;46.28958;-0.40756;46.28979;-0.40722;120;;
6;9448;JAMINE;46.29082;-0.409518;46.290924;-0.409749;60;;
7;9348;LEVANT;46.29291;-0.415171;46.293114;-0.415524;60;;
8;22300;MOULIN;46.29481048;-0.420189324;46.294934;-0.420207;120;;
9;22307;SALLE OMNISPORTS;46.29274;-0.424162;46.292942;-0.424056;60;;
10;22305;FIEF ST MAURICE;46.294342;-0.426377;46.294342;-0.426377;60;;
11;9388;MOIE;46.296757;-0.423352;46.29716;-0.423993;120;;
12;22299;SAINT LAMBIN;46.299873;-0.423117;46.299873;-0.423117;60;;
13;22301;PISSARDANT;46.30071;-0.425599;46.30071;-0.425599;60;;
14;9339;FIEF CHEVALIER;46.298523;-0.427839;46.29867;-0.427783;60;;
15;9370;MAISON NEUVE;46.300007;-0.431714;46.30018;-0.431634;60;;
16;9626;SOURCES;46.30429;-0.438364;46.30422;-0.438035;60;;
17;9228;BAUDELAIRE;46.307198;-0.441888;46.30734;-0.441741;120;;
18;9411;CHERAU;46.3107;-0.44575;46.310856;-0.445855;60;;
19;9558;CITE;46.312204;-0.446176;46.312204;-0.446176;30;;
20;9598;CHAMPOMMIER;46.314644;-0.443413;46.314644;-0.443413;30;;
21;9365;PAIX;46.313103;-0.448735;46.31324;-0.448743;60;;
22;9418;BRIOUX;46.315777;-0.452336;46.315346;-0.451359;60;;
23;9268;INKERMANN;46.31475;-0.453581;46.314796;-0.453729;120;;
24;9329;REAUMUR;46.31316;-0.455145;46.313606;-0.456122;60;;
25;9293;HOPITAL;46.31678;-0.45778;46.316803;-0.4576;120;;
26;9245;NIORT GARE SNCF;46.31917;-0.455445;46.319202;-0.4553;120;;
27;9359;ROULAGE;46.320606;-0.459259;46.320717;-0.459304;60;;
28;58946;BRECHE;46.322945;-0.460006;46.322884;-0.459625;240;;
29;9456;ST JEAN;46.321228;-0.464848;46.32134;-0.464792;60;;
30;9204;ESPINGOLE;46.32263;-0.467246;46.322815;-0.467199;60;;
31;9246;PORT BOINOT;46.32527;-0.468343;46.325493;-0.468279;60;;
32;9438;ST ETIENNE;46.32778;-0.469323;46.327717;-0.469123;60;;
33;9217;GENEVE;46.32917;-0.469879;46.329166;-0.469697;60;;
34;9336;VILLON;46.33386;-0.471804;46.334126;-0.471805;120;;
35;9274;RECOUVRANCE;46.335674;-0.474261;46.33591;-0.474458;60;;
36;9480;VERRERIE;46.336716;-0.477266;46.33677;-0.476944;60;;
37;9271;ST HUBERT;46.33821;-0.481613;46.338215;-0.481224;60;;
38;9515;NANTES;46.340385;-0.487968;46.340374;-0.487369;60;;
39;9450;ESPACE OUEST;46.34203;-0.488035;46.342003;-0.487786;120;;
40;9256;BOILEAU;46.34344;-0.48377;46.34328;-0.483694;60;;
41;9393;BUISSONS;46.342358;-0.480566;46.342354;-0.480969;30;;
42;51676;THOMAS JEAN MAIN;46.3421465;-0.476967;46.342162;-0.4769055;30;;
43;9463;COULONGES;46.344585;-0.477849;46.34499;-0.477888;120;;
44;9229;GLAIE;46.34729;-0.47943;46.34736;-0.479379;60;;
45;9193;DIXIEME;46.34819;-0.476571;46.348125;-0.476697;60;;
46;9213;STE PEZENNE;46.348206;-0.473138;46.348206;-0.473138;60;;
